Museum Name,City/Town,State,Description
Amaravati Archaeological Museum,Amaravati,Andhra Pradesh,"Archaeological finds from the Amaravati Stupa and Buddhist sites."
Visakha Museum,Visakhapatnam,Andhra Pradesh,"Displays local history, artifacts, and maritime heritage."
Submarine Museum (INS Kursura),Visakhapatnam,Andhra Pradesh,"Museum inside a decommissioned submarine."
Sri Venkateswara Museum,Tirupati,Andhra Pradesh,"Artifacts and temple treasures related to Tirumala temple."
Jawaharlal Nehru State Museum,Itanagar,Arunachal Pradesh,"Ethnographic and archaeological collections from Arunachal’s tribes."
Tawang War Memorial & Museum,Tawang,Arunachal Pradesh,"Memorial and museum dedicated to the 1962 Sino-Indian War."
Assam State Museum,Guwahati,Assam,"Extensive collections of Assam’s history, culture, and art."
Regional Science Centre,Guwahati,Assam,"Interactive science exhibits and planetarium."
Tai Ahom Museum,Sivasagar,Assam,"Artifacts of the Ahom dynasty."
Patna Museum,Patna,Bihar,"Historical artifacts, sculptures, and paintings from Bihar."
Bihar Museum,Patna,Bihar,"Modern museum with ancient and contemporary collections."
Nalanda Archaeological Museum,Nalanda,Bihar,"Artifacts from Nalanda University ruins."
Buddha Relic Stupa Museum,Vaishali,Bihar,"Relics and Buddhist artifacts from Vaishali."
Mahant Ghasidas Memorial Museum,Raipur,Chhattisgarh,"Natural history, tribal, and archaeological collections."
Anthropological Museum,Jagdalpur (Bastar),Chhattisgarh,"Tribal culture, art, and ethnography of Bastar."
Goa State Museum,Panaji,Goa,"History, art, and culture of Goa."
Museum of Christian Art,Old Goa,Goa,"Christian art from churches and cathedrals of Goa."
Archaeological Museum,Old Goa,Goa,"Portuguese and pre-Portuguese artifacts."
Calico Museum of Textiles,Ahmedabad,Gujarat,"World-renowned textile museum with historic fabrics."
Kite Museum,Ahmedabad,Gujarat,"Unique museum dedicated to the history of kites."
Baroda Museum and Picture Gallery,Vadodara,Gujarat,"Art, sculpture, ethnology, and natural history."
Kutch Museum,Bhuj,Gujarat,"Oldest museum in Gujarat, tribal and regional artifacts."
Sri Krishna Museum,Kurukshetra,Haryana,"Artifacts and exhibits on Krishna and Mahabharata."
Panorama and Science Centre,Kurukshetra,Haryana,"Science exhibits and Mahabharata-themed panoramas."
Government Museum and Art Gallery,Panchkula,Haryana,"Art, archaeology, and natural history collections."
Himachal State Museum,Shimla,Himachal Pradesh,"Himachal’s art, archaeology, and cultural history."
Uruswati Himalayan Folk Art Museum,Kullu,Himachal Pradesh,"Folk art and artifacts from the Himalayan region."
State Museum Hotwar,Ranchi,Jharkhand,"Art, archaeology, and tribal collections."
Tribal Research Institute Museum,Hazaribagh,Jharkhand,"Tribal art, crafts, and ethnographic exhibits."
Visvesvaraya Industrial & Tech Museum,Bengaluru,Karnataka,"Interactive science and technology museum."
Government Museum,Bengaluru,Karnataka,"Archaeology, art, and numismatics."
Jaganmohan Palace Art Gallery,Mysuru,Karnataka,"Royal art collection, paintings, and artifacts."
Rail Museum,Mysuru,Karnataka,"Historic locomotives and railway memorabilia."
Archaeological Museum,Hampi,Karnataka,"Artifacts from Vijayanagara Empire and Hampi ruins."
Napier Museum,Thiruvananthapuram,Kerala,"Art and natural history collections."
Kerala Science and Technology Museum,Thiruvananthapuram,Kerala,"Science exhibits and planetarium."
Kerala Folklore Museum,Kochi,Kerala,"Folk art, antiques, and cultural artifacts."
Indo-Portuguese Museum,Kochi,Kerala,"Christian art and Indo-Portuguese heritage."
Archaeological Museum,Thrissur,Kerala,"Stone sculptures, coins, and ancient artifacts."
Indira Gandhi Rashtriya Manav Sangrahalaya,Bhopal,Madhya Pradesh,"National museum of tribal and folk cultures."
State Museum,Bhopal,Madhya Pradesh,"Art, archaeology, and natural history."
Scindia Museum,Gwalior,Madhya Pradesh,"Royal artifacts from the Scindia dynasty."
Archaeological Museum,Khajuraho,Madhya Pradesh,"Sculptures and artifacts from Khajuraho temples."
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (CSMVS),Mumbai,Maharashtra,"Formerly Prince of Wales Museum, art and history."
Nehru Science Centre,Mumbai,Maharashtra,"Interactive science exhibits and planetarium."
Raja Dinkar Kelkar Museum,Pune,Maharashtra,"Artifacts of daily life, art, and crafts."
Central Museum,Nagpur,Maharashtra,"Natural history, archaeology, and art."
Manipur State Museum,Imphal,Manipur,"Artifacts, costumes, and tribal heritage."
INA Museum,Kangla Fort,Imphal,Manipur,"Museum dedicated to the Indian National Army."
Don Bosco Centre for Indigenous Cultures,Shillong,Meghalaya,"Museum of North East India’s tribal cultures."
Sacred Grove Eco Museum,Mawphlang,Meghalaya,"Museum and interpretation center for Khasi sacred groves."
Mizoram State Museum,Aizawl,Mizoram,"Tribal artifacts, textiles, and history."
Nagaland State Museum,Kohima,Nagaland,"Naga tribal artifacts and heritage."
World War II Museum,Kisama,Nagaland,"War memorabilia and Naga culture, Hornbill Village."
Odisha State Museum,Bhubaneswar,Odisha,"History, art, and archaeology of Odisha."
Tribal Museum,Bhubaneswar,Odisha,"Tribal art, crafts, and ethnography."
Interpretation Centre (Sun Temple),Konark,Odisha,"Museum and visitor center for Konark Sun Temple."
Netaji Birthplace Museum,Cuttack,Odisha,"House and memorabilia of Netaji Subhas Chandra Bose."
Partition Museum,Amritsar,Punjab,"Stories and artifacts from the Partition of India."
Maharaja Ranjit Singh Museum,Amritsar,Punjab,"Royal artifacts and Sikh history."
Government Museum and Art Gallery,Chandigarh (shared),Punjab/Haryana,"Art, Gandhara sculptures, and natural history."
Jagatjit Palace Museum,Kapurthala,Punjab,"Royal palace museum."
Albert Hall Museum,Jaipur,Rajasthan,"Oldest state museum, Indo-Saracenic architecture."
City Palace Museum,Jaipur,Rajasthan,"Royal collections and regalia."
City Palace Museum,Udaipur,Rajasthan,"Mewar royal artifacts."
Bagore Ki Haveli,Udaipur,Rajasthan,"Museum of royal and folk artifacts."
Mehrangarh Fort Museum,Jodhpur,Rajasthan,"Weapons, paintings, and palanquins."
Namgyal Institute of Tibetology,Gangtok,Sikkim,"Tibetan culture, art, and manuscripts."
Buddha Park Interpretation Centre,Ravangla,Sikkim,"Museum and visitor center for Buddha Park."
Government Museum (Egmore),Chennai,Tamil Nadu,"India’s second-oldest museum, art, archaeology, and numismatics."
Fort Museum,Chennai,Tamil Nadu,"Artifacts from British rule in Fort St. George."
Saraswathi Mahal Library & Museum,Thanjavur,Tamil Nadu,"Rare manuscripts and royal collections."
Gandhi Memorial Museum,Madurai,Tamil Nadu,"Gandhiji’s life and India’s freedom movement."
Museum Name,City/Town,State,Description
Puducherry Museum,Puducherry,Puducherry,"Established in 1983, the museum showcases artifacts from the Chola and Pallava periods, archaeological finds from Arikamedu, French colonial furniture, rare bronzes, stone sculptures, ancient vehicles like palanquins and pousse-pousse, and exhibits on geology and local heritage."
Ananda Ranga Pillai Museum,Puducherry,Puducherry,"Historic house museum of Ananda Ranga Pillai, an 18th-century Indian merchant and dubash to the French governor. Preserves original architecture, furniture, and his detailed diaries documenting life in French colonial Puducherry."
Jawahar Toy Museum,Puducherry,Puducherry,"Specialized museum featuring over 150 dolls and toys representing diverse cultures, educating visitors on India's unity in diversity."
Puducherry Science Centre & Planetarium,Puducherry,Puducherry,"Public science museum and planetarium offering interactive exhibits and educational programs."
Bharathiyar Museum,Puducherry,Puducherry,"Museum dedicated to the life and works of poet Subramania Bharathi."
Bharathidasan Museum,Puducherry,Puducherry,"Museum showcasing the works and legacy of Tamil poet Bharathidasan."
Police Museum,Puducherry,Puducherry,"Exhibits related to the history and evolution of policing in Puducherry."
Crafts Emporium,Puducherry,Puducherry,"Showcases traditional crafts and artisan products from the region."
Salar Jung Museum,Hyderabad,Telangana,"World-famous collection of art, antiques, and manuscripts."
Telangana State Archaeology Museum,Hyderabad,Telangana,"Ancient sculptures, coins, and art."
Kakatiya Heritage Museum,Warangal,Telangana,"Artifacts from Kakatiya dynasty."
Tripura State Museum,Agartala,Tripura,"History, art, and culture of Tripura."
Ujjayanta Palace Museum,Agartala,Tripura,"Royal palace with museum collections."
State Museum,Lucknow,Uttar Pradesh,"Art, archaeology, and natural history."
Residency Museum,Lucknow,Uttar Pradesh,"Museum at the British Residency, 1857 Revolt."
Taj Museum,Agra,Uttar Pradesh,"Artifacts and history of the Taj Mahal."
Archaeological Museum,Fatehpur Sikri,Uttar Pradesh,"Artifacts from Mughal city."
Bharat Kala Bhavan,Varanasi,Uttar Pradesh,"Art and archaeological museum at Banaras Hindu University."
Forest Research Institute Museum,Dehradun,Uttarakhand,"Forestry, timber, and natural history."
Zonal Anthropological Museum,Dehradun,Uttarakhand,"Anthropology and tribal cultures of Uttarakhand."
Govind Ballabh Pant Museum,Almora,Uttarakhand,"Kumaoni art, culture, and history."
Indian Museum,Kolkata,West Bengal,"Oldest and largest museum in India, art, archaeology, and natural history."
Victoria Memorial,Kolkata,West Bengal,"Museum and galleries in a marble monument."
Science City,Kolkata,West Bengal,"Interactive science center and museum."
Rabindra Bhavana Museum,Santiniketan,West Bengal,"Tagore’s manuscripts, art, and memorabilia."
